addr,input_hex,input_value,output_hex,output_value
317,27A0,0.369141,1DF8,0.218262
318,27C0,0.371094,1E0E,0.219604
319,27E0,0.373047,1E23,0.220886
320,2800,0.375000,1E39,0.222229
321,2820,0.376953,1E4F,0.223572
322,2840,0.378906,1E65,0.224915
323,2860,0.380859,1E7B,0.226257
324,2880,0.382812,1E91,0.227600
325,28A0,0.384766,1EA7,0.228943
326,28C0,0.386719,1EBD,0.230286
327,28E0,0.388672,1ED3,0.231628
328,2900,0.390625,1EE9,0.232971
329,2920,0.392578,1EFF,0.234314
330,2940,0.394531,1F15,0.235657
331,2960,0.396484,1F2C,0.237061
332,2980,0.398438,1F42,0.238403
333,29A0,0.400391,1F58,0.239746
334,29C0,0.402344,1F6E,0.241089
335,29E0,0.404297,1F85,0.242493
336,2A00,0.406250,1F9B,0.243835
337,2A20,0.408203,1FB1,0.245178
338,2A40,0.410156,1FC8,0.246582
339,2A60,0.412109,1FDE,0.247925
340,2A80,0.414062,1FF4,0.249268
341,2AA0,0.416016,200B,0.250671
342,2AC0,0.417969,2021,0.252014
343,2AE0,0.419922,2038,0.253418
344,2B00,0.421875,204E,0.254761
345,2B20,0.423828,2065,0.256165
346,2B40,0.425781,207C,0.257568
347,2B60,0.427734,2092,0.258911
348,2B80,0.429688,20A9,0.260315
349,2BA0,0.431641,20C0,0.261719
350,2BC0,0.433594,20D6,0.263062
351,2BE0,0.435547,20ED,0.264465
352,2C00,0.437500,2104,0.265869
353,2C20,0.439453,211B,0.267273
354,2C40,0.441406,2131,0.268616
355,2C60,0.443359,2148,0.270020
356,2C80,0.445312,215F,0.271423
357,2CA0,0.447266,2176,0.272827
358,2CC0,0.449219,218D,0.274231
359,2CE0,0.451172,21A4,0.275635
360,2D00,0.453125,21BB,0.277039
361,2D20,0.455078,21D2,0.278442
362,2D40,0.457031,21E9,0.279846
363,2D60,0.458984,2200,0.281250
364,2D80,0.460938,2217,0.282654
365,2DA0,0.462891,222E,0.284058
366,2DC0,0.464844,2245,0.285461
367,2DE0,0.466797,225D,0.286926
368,2E00,0.468750,2274,0.288330
369,2E20,0.470703,228B,0.289734
370,2E40,0.472656,22A2,0.291138
371,2E60,0.474609,22BA,0.292603
372,2E80,0.476562,22D1,0.294006
373,2EA0,0.478516,22E8,0.295410
374,2EC0,0.480469,2300,0.296875
375,2EE0,0.482422,2317,0.298279
376,2F00,0.484375,232F,0.299744
377,2F20,0.486328,2346,0.301147
378,2F40,0.488281,235E,0.302612
379,2F60,0.490234,2375,0.304016
380,2F80,0.492188,238D,0.305481
381,2FA0,0.494141,23A4,0.306885
382,2FC0,0.496094,23BC,0.308350
383,2FE0,0.498047,23D4,0.309814
384,3000,0.500000,23EB,0.311218
385,3020,0.503906,241B,0.314148
386,3040,0.507812,244A,0.317017
387,3060,0.511719,247A,0.319946
388,3080,0.515625,24A9,0.322815
389,30A0,0.519531,24D9,0.325745
390,30C0,0.523438,2509,0.328674
391,30E0,0.527344,2539,0.331604
392,3100,0.531250,256A,0.334595
393,3120,0.535156,259A,0.337524
394,3140,0.539062,25CA,0.340454
395,3160,0.542969,25FB,0.343445
396,3180,0.546875,262B,0.346375
397,31A0,0.550781,265C,0.349365
398,31C0,0.554688,268D,0.352356
399,31E0,0.558594,26BE,0.355347
400,3200,0.562500,26EF,0.358337
401,3220,0.566406,2720,0.361328
402,3240,0.570312,2751,0.364319
403,3260,0.574219,2783,0.367371
404,3280,0.578125,27B4,0.370361
405,32A0,0.582031,27E6,0.373413
406,32C0,0.585938,2817,0.376404
407,32E0,0.589844,2849,0.379456
408,3300,0.593750,287B,0.382507
409,3320,0.597656,28AD,0.385559
410,3340,0.601562,28DF,0.388611
411,3360,0.605469,2911,0.391663
412,3380,0.609375,2944,0.394775
413,33A0,0.613281,2976,0.397827
414,33C0,0.617188,29A9,0.400940
415,33E0,0.621094,29DB,0.403992
416,3400,0.625000,2A0E,0.407104
417,3420,0.628906,2A41,0.410217
418,3440,0.632812,2A74,0.413330
419,3460,0.636719,2AA7,0.416443
420,3480,0.640625,2ADA,0.419556
421,34A0,0.644531,2B0D,0.422668
422,34C0,0.648438,2B40,0.425781
423,34E0,0.652344,2B74,0.428955
424,3500,0.656250,2BA7,0.432068
425,3520,0.660156,2BDB,0.435242
426,3540,0.664062,2C0F,0.438416
427,3560,0.667969,2C43,0.441589
428,3580,0.671875,2C76,0.444702
429,35A0,0.675781,2CAA,0.447876
430,35C0,0.679688,2CDF,0.451111
431,35E0,0.683594,2D13,0.454285
432,3600,0.687500,2D47,0.457458
433,3620,0.691406,2D7C,0.460693
434,3640,0.695312,2DB0,0.463867
435,3660,0.699219,2DE5,0.467102
436,3680,0.703125,2E1A,0.470337
437,36A0,0.707031,2E4E,0.473511
